k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,0.9,0.116,0.126,0.124,0.002
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,0.9,0.016,0.016,0.016,0.0
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,0.9,0.0,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,0.9,0.0,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,0.9,0.026,0.026,0.026,0.0
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,0.9,0.002,0.002,0.002,0.0
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,0.9,0.0,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,0.9,0.0,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,0.9,0.368,0.458,0.44,0.018
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,0.9,0.036,0.036,0.036,0.0
1,euclidean,mean_std_0.0,normalized_union,none,0.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,normalized_union,none,0.25,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,normalized_union,none,0.5,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,normalized_union,none,1.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,normalized_union,none,2.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,0.9,0.116,0.126,0.124,0.002
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,0.9,0.016,0.016,0.016,0.0
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,0.9,0.0,0.0,0.0,0.0
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,0.9,0.0,0.0,0.0,0.0
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.0,0.9,0.364,0.464,0.444,0.02
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.25,0.9,0.026,0.026,0.026,0.0
