dataset,kir,seed,workpoint,target_calibration_coverage,radius_multiplier,calibration_known_recall,selected_using_test_oos,selected_using_test_known,selected_split,selected_balls,mean_balls_per_intent,minimum_ball_size,fit_and_score_seconds,oos_precision,oos_recall,oos_f1_mogb,id_recall_mogb,oos_rejection,auroc,aupr_oos,fpr95,false_accept_rate_mogb,false_reject_rate,accuracy,f1_all_mogb,f1_k,f1_u,oos_f1_trainable,f1_all_trainable,id_recall_trainable,false_accept_rate_trainable,oos_f1_trainable_minus_mogb,f1_all_trainable_minus_mogb,id_recall_trainable_minus_mogb,false_accept_rate_trainable_minus_mogb
clinc150,0.25,13,default_radius,,1.0,0.3618421052631579,False,False,paper_default_radius,61,1.605263157894737,10,0.465591300977394,0.8688713708902134,0.9910087719298246,0.9259297203155414,0.4017543859649123,0.9910087719298246,0.9204505232379192,0.9722469613557536,0.2403508771929824,0.0089912280701754,0.5982456140350877,0.8731578947368421,0.552799420888672,0.5429802024827017,0.9259297203155414,0.9528118939883644,0.8010298070270482,0.736842105263158,0.0302631578947368,0.026882173672822973,0.24823038613837622,0.33508771929824566,0.0212719298245614
clinc150,0.25,13,calibration_coverage_0.80,0.8,1.1877687821297218,0.8,False,False,calibration_known,61,1.605263157894737,10,0.4851389909745194,0.9466755912539044,0.9304824561403509,0.9385091793850918,0.7903508771929825,0.9304824561403509,0.9204505232379192,0.9722469613557536,0.2403508771929824,0.0695175438596491,0.2096491228070175,0.9019298245614036,0.7828865321537685,0.7787911993318916,0.9385091793850918,0.9528118939883644,0.8010298070270482,0.736842105263158,0.0302631578947368,0.014302714603272593,0.018143274873279713,-0.053508771929824506,-0.039254385964912306
clinc150,0.25,13,calibration_coverage_0.85,0.85,1.2242954885177555,0.85,False,False,calibration_known,61,1.605263157894737,10,0.5047835430013947,0.9570653456003776,0.8896929824561404,0.9221502443459484,0.8403508771929824,0.8896929824561404,0.9204505232379192,0.9722469613557536,0.2403508771929824,0.1103070175438596,0.1596491228070175,0.8789473684210526,0.7727411792269078,0.7688093617237751,0.9221502443459484,0.9528118939883644,0.8010298070270482,0.736842105263158,0.0302631578947368,0.030661649642416022,0.02828862780014041,-0.10350877192982444,-0.0800438596491228
clinc150,0.25,13,calibration_coverage_0.90,0.9,1.302118873299395,0.9,False,False,calibration_known,61,1.605263157894737,10,0.5242985139484517,0.966053748231966,0.7489035087719298,0.8437306979617047,0.8947368421052632,0.7489035087719298,0.9204505232379192,0.9722469613557536,0.2403508771929824,0.2510964912280701,0.1052631578947368,0.7766666666666666,0.7199144213495334,0.7166560982807921,0.8437306979617047,0.9528118939883644,0.8010298070270482,0.736842105263158,0.0302631578947368,0.10908119602665967,0.08111538567751475,-0.1578947368421052,-0.2208333333333333
clinc150,0.25,13,calibration_coverage_0.95,0.95,1.4125924474836349,0.95,False,False,calibration_known,61,1.605263157894737,10,0.5445205529686064,0.9755422242731888,0.4635964912280702,0.6285119667013528,0.9535087719298244,0.4635964912280702,0.9204505232379192,0.9722469613557536,0.2403508771929824,0.5364035087719298,0.0464912280701754,0.5589473684210526,0.6344072549450641,0.6345623941093723,0.6285119667013528,0.9528118939883644,0.8010298070270482,0.736842105263158,0.0302631578947368,0.3242999272870116,0.16662255208198407,-0.21666666666666645,-0.506140350877193
clinc150,0.25,42,default_radius,,1.0,0.3421052631578947,False,False,paper_default_radius,77,2.026315789473684,10,0.5215056270244531,0.8557383248251087,0.9925438596491228,0.9190780789927911,0.3307017543859649,0.9925438596491228,0.8889312096029547,0.958846994852714,0.3464912280701754,0.0074561403508771,0.6692982456140351,0.86,0.4690188607303663,0.4571751970918815,0.9190780789927911,0.9479594040164112,0.7837064085470472,0.7263157894736842,0.0372807017543859,0.028881325023620064,0.3146875478166809,0.39561403508771936,0.029824561403508802
clinc150,0.25,42,calibration_coverage_0.80,0.8,1.224593712449276,0.8,False,False,calibration_known,77,2.026315789473684,10,0.5410007449681871,0.939330053876786,0.8793859649122807,0.90837014384415,0.7728070175438596,0.8793859649122807,0.8889312096029547,0.958846994852714,0.3464912280701754,0.1206140350877193,0.2271929824561403,0.8566666666666667,0.7264305949745683,0.7216427121095793,0.90837014384415,0.9479594040164112,0.7837064085470472,0.7263157894736842,0.0372807017543859,0.039589260172261165,0.057275813572478906,-0.04649122807017536,-0.0833333333333334
clinc150,0.25,42,calibration_coverage_0.85,0.85,1.26819804411341,0.85,False,False,calibration_known,77,2.026315789473684,10,0.5602320629986934,0.9499871761990254,0.8122807017543859,0.8757536351814635,0.8289473684210527,0.8122807017543859,0.8889312096029547,0.958846994852714,0.3464912280701754,0.187719298245614,0.1710526315789473,0.8138596491228071,0.7255516299714873,0.7215989456238563,0.8757536351814635,0.9479594040164112,0.7837064085470472,0.7263157894736842,0.0372807017543859,0.07220576883494767,0.05815477857555995,-0.10263157894736841,-0.1504385964912281
clinc150,0.25,42,calibration_coverage_0.90,0.9,1.3362330766548685,0.9,False,False,calibration_known,77,2.026315789473684,10,0.5795127039891668,0.9581218274111676,0.6622807017543859,0.783195020746888,0.8842105263157894,0.6622807017543859,0.8889312096029547,0.958846994852714,0.3464912280701754,0.337719298245614,0.1157894736842105,0.7036842105263158,0.6850979674767151,0.6825164660748685,0.783195020746888,0.9479594040164112,0.7837064085470472,0.7263157894736842,0.0372807017543859,0.16476438326952325,0.09860844107033206,-0.1578947368421052,-0.30043859649122806
clinc150,0.25,42,calibration_coverage_0.95,0.95,1.4500052678859792,0.95,False,False,calibration_known,77,2.026315789473684,10,0.6003318669972941,0.968677494199536,0.3662280701754385,0.5315085932527053,0.9526315789473684,0.3662280701754385,0.8889312096029547,0.958846994852714,0.3464912280701754,0.6337719298245614,0.0473684210526315,0.4791228070175438,0.5862242227609052,0.5876641077479632,0.5315085932527053,0.9479594040164112,0.7837064085470472,0.7263157894736842,0.0372807017543859,0.41645081076370594,0.19748218578614196,-0.22631578947368414,-0.5964912280701755
