dataset,kir,seed,protocol_version,method,target_known_recall,diagnostic_threshold,achieved_known_recall,oos_f1,oos_precision,oos_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,source_path
banking77,0.25,13,protocol_v2_textoir_v1,energy,0.75,-4.538045044206754,0.75,0.9058413251961639,0.9162257495590829,0.8956896551724138,0.10431034482758621,0.25,0.8970746370235935,0.9562515203931787,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,energy,0.75,-4.618222727944888,0.75,0.9155325124216893,0.9177132957990473,0.9133620689655172,0.08663793103448277,0.25,0.9110248411978221,0.9637862178419587,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,energy,0.75,-4.6042548979465,0.75,0.9022523507544281,0.9156679982245894,0.8892241379310345,0.11077586206896552,0.25,0.8961734346642467,0.9557169140369512,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,energy,0.75,-4.526473316672954,0.75,0.9000876424189308,0.9153297682709447,0.8853448275862069,0.1146551724137931,0.25,0.8999858212341197,0.9600175590367938,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,energy,0.75,-4.461084725816756,0.75,0.8844444444444445,0.9128440366972477,0.8577586206896551,0.14224137931034483,0.25,0.8753062613430127,0.9456462539981281,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,knn,0.75,0.7190907917916775,0.75,0.9262032085561497,0.9193205944798302,0.9331896551724138,0.0668103448275862,0.25,0.9256249999999999,0.9689528213649714,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,knn,0.75,0.7111417293548584,0.75,0.934634974533107,0.9205685618729097,0.9491379310344827,0.05086206896551724,0.25,0.9304565562613432,0.9713921067374771,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,knn,0.75,0.7204142317175866,0.75,0.931232701724505,0.9200673117374842,0.9426724137931034,0.05732758620689655,0.25,0.9288004764065336,0.9715212655882979,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,knn,0.75,0.7264187261462212,0.75,0.9127138834741174,0.9172834131475838,0.9081896551724138,0.09181034482758621,0.25,0.9096823956442832,0.9613877631839989,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,knn,0.75,0.7612503182142973,0.75,0.8957325120985482,0.9146451033243486,0.8775862068965518,0.12241379310344827,0.25,0.8925567150635209,0.9553661879793965,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,lof,0.75,1.1057066917419434,0.75,0.8974302657588403,0.9149126735333631,0.8806034482758621,0.11939655172413793,0.25,0.9058152790381127,0.9616765438664999,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,lof,0.75,1.0995188653469086,0.75,0.9058413251961639,0.9162257495590829,0.8956896551724138,0.10431034482758621,0.25,0.8912477313974592,0.9547478087977062,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,lof,0.75,1.1318658888339996,0.75,0.9117710817255582,0.9171391190580026,0.9064655172413794,0.0935344827586207,0.25,0.9174517921960073,0.9690184227009864,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,lof,0.75,1.1210179030895233,0.75,0.8920768042374752,0.9140660334690185,0.8711206896551724,0.12887931034482758,0.25,0.8886439428312161,0.9461134716331383,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,lof,0.75,1.1015605330467224,0.75,0.8932980599647267,0.9142599277978339,0.8732758620689656,0.1267241379310345,0.25,0.8893460753176042,0.9539853127278322,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,msp,0.75,0.31525357158332784,0.75,0.9034512887723897,0.9158547387068202,0.8913793103448275,0.10862068965517241,0.25,0.8963798774954629,0.9563635132038328,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,msp,0.75,0.2632024173168902,0.75,0.9250535331905781,0.9191489361702128,0.9310344827586207,0.06896551724137931,0.25,0.9224166288566242,0.96670030995283,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,msp,0.75,0.26020140822672766,0.75,0.9192680301399354,0.9182795698924732,0.9202586206896551,0.07974137931034483,0.25,0.9094339836660618,0.9616315078825475,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,msp,0.75,0.3195615758440538,0.75,0.9010507880910683,0.9154804270462633,0.8870689655172413,0.11293103448275862,0.25,0.8956941923774955,0.9579270561950108,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,msp,0.75,0.28943440960503564,0.75,0.8930540242557883,0.9142212189616253,0.8728448275862069,0.1271551724137931,0.25,0.8902438747731396,0.9528455932806552,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,trainable_k1,0.75,0.9558510119974217,0.75,0.9278086287911149,0.9195596951735817,0.9362068965517242,0.06379310344827586,0.25,0.9256567604355717,0.968786301571126,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_13/predictions.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,trainable_k1,0.75,0.9428868587089377,0.75,0.9314601958280119,0.9201009251471826,0.9431034482758621,0.056896551724137934,0.25,0.9272203947368423,0.96790581565507,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_42/predictions.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,trainable_k1,0.75,0.942967176039218,0.75,0.9359898261975413,0.920767306088407,0.9517241379310345,0.04827586206896552,0.25,0.9331040154264973,0.9722067940438386,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_87/predictions.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,trainable_k1,0.75,0.9534887875522884,0.75,0.9294092557048411,0.9197973828619671,0.9392241379310344,0.060775862068965514,0.25,0.9305064655172413,0.9694606522842194,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.25/runs/banking77/seed_100/predictions.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,trainable_k1,0.75,0.9443100617826704,0.75,0.9115351257588898,0.9171029668411868,0.9060344827586206,0.0939655172413793,0.25,0.8983904264972776,0.9567111504764729,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.25/runs/banking77/seed_123/predictions.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,energy,0.85,-4.25627249557646,0.85,0.856203007518797,0.9411157024793388,0.7853448275862069,0.21465517241379312,0.15,0.8970746370235935,0.9562515203931787,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,energy,0.85,-4.282501020441682,0.85,0.8681701929783772,0.9424533064109036,0.8047413793103448,0.19525862068965516,0.15,0.9110248411978221,0.9637862178419587,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,energy,0.85,-4.32946643475567,0.85,0.866852886405959,0.9423076923076923,0.8025862068965517,0.19741379310344828,0.15,0.8961734346642467,0.9557169140369512,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,energy,0.85,-4.220635164565752,0.85,0.8604868913857678,0.9415983606557377,0.7922413793103448,0.20775862068965517,0.15,0.8999858212341197,0.9600175590367938,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,energy,0.85,-4.135971730485482,0.85,0.8309317963496637,0.938177874186551,0.7456896551724138,0.2543103448275862,0.15,0.8753062613430127,0.9456462539981281,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,knn,0.85,0.7790209774672985,0.85,0.8936363636363637,0.9451923076923077,0.8474137931034482,0.15258620689655172,0.15,0.9256249999999999,0.9689528213649714,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,knn,0.85,0.7758385719358921,0.85,0.8973952434881087,0.9455847255369928,0.8538793103448276,0.14612068965517241,0.15,0.9304565562613432,0.9713921067374771,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,knn,0.85,0.7680051459372043,0.85,0.9082753980713164,0.9467040673211781,0.8728448275862069,0.1271551724137931,0.15,0.9288004764065336,0.9715212655882979,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,knn,0.85,0.7836839805543422,0.85,0.874711049468331,0.9431704885343968,0.8155172413793104,0.18448275862068966,0.15,0.9096823956442832,0.9613877631839989,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,knn,0.85,0.8054500263929366,0.85,0.8532391048292108,0.9407792207792208,0.780603448275862,0.21939655172413794,0.15,0.8925567150635209,0.9553661879793965,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,lof,0.85,1.1465558409690857,0.85,0.8623510165926619,0.9418070444104135,0.7952586206896551,0.20474137931034483,0.15,0.9058152790381127,0.9616765438664999,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,lof,0.85,1.166776043176651,0.85,0.8420551855375833,0.9394904458598726,0.7629310344827587,0.23706896551724138,0.15,0.8912477313974592,0.9547478087977062,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,lof,0.85,1.1970105051994324,0.85,0.8757505773672055,0.9432835820895522,0.8172413793103448,0.18275862068965518,0.15,0.9174517921960073,0.9690184227009864,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,lof,0.85,1.1931304216384888,0.85,0.8184466019417476,0.9366666666666666,0.7267241379310345,0.27327586206896554,0.15,0.8886439428312161,0.9461134716331383,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,lof,0.85,1.1605241239070891,0.85,0.816147859922179,0.9363839285714286,0.7232758620689655,0.2767241379310345,0.15,0.8893460753176042,0.9539853127278322,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,msp,0.85,0.42170934663410015,0.85,0.8631480616534329,0.9418960244648318,0.7965517241379311,0.20344827586206896,0.15,0.8963798774954629,0.9563635132038328,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,msp,0.85,0.35350583167591815,0.85,0.9072951739618407,0.9466042154566745,0.8711206896551724,0.12887931034482758,0.15,0.9224166288566242,0.96670030995283,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,msp,0.85,0.37352854653438794,0.85,0.8923777019340159,0.9450602409638554,0.8452586206896552,0.15474137931034482,0.15,0.9094339836660618,0.9616315078825475,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,msp,0.85,0.4462748970838308,0.85,0.8620850864890136,0.9417773237997957,0.7948275862068965,0.20517241379310344,0.15,0.8956941923774955,0.9579270561950108,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,msp,0.85,0.41155520177183025,0.85,0.8537791382152108,0.9408406850025947,0.7814655172413794,0.2185344827586207,0.15,0.8902438747731396,0.9528455932806552,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,trainable_k1,0.85,1.0202423152655826,0.85,0.9026149684400361,0.946124763705104,0.8629310344827587,0.13706896551724138,0.15,0.9256567604355717,0.968786301571126,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_13/predictions.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,trainable_k1,0.85,1.0317527665494495,0.85,0.9077855059457034,0.9466541881141788,0.8719827586206896,0.12801724137931034,0.15,0.9272203947368423,0.96790581565507,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_42/predictions.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,trainable_k1,0.85,1.045901856381728,0.85,0.9220549158547388,0.9480874316939891,0.8974137931034483,0.10258620689655172,0.15,0.9331040154264973,0.9722067940438386,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_87/predictions.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,trainable_k1,0.85,1.0446105112441364,0.85,0.920381459303615,0.94792142530836,0.8943965517241379,0.10560344827586207,0.15,0.9305064655172413,0.9694606522842194,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.25/runs/banking77/seed_100/predictions.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,trainable_k1,0.85,1.024395779971442,0.85,0.8639439906651109,0.9419847328244275,0.7978448275862069,0.2021551724137931,0.15,0.8983904264972776,0.9567111504764729,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.25/runs/banking77/seed_123/predictions.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,energy,0.9,-4.051098328362417,0.9,0.782520325203252,0.9529702970297029,0.6637931034482759,0.33620689655172414,0.1,0.8970746370235935,0.9562515203931787,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,energy,0.9,-4.104743920864232,0.9,0.8129799355957394,0.9557367501456028,0.7073275862068965,0.29267241379310344,0.1,0.9110248411978221,0.9637862178419587,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,energy,0.9,-4.10098245354837,0.9,0.8112130984867278,0.9555815312682642,0.7047413793103449,0.2952586206896552,0.1,0.8961734346642467,0.9557169140369512,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,energy,0.9,-4.055198587861734,0.9,0.8208661417322834,0.9564220183486238,0.7189655172413794,0.2810344827586207,0.1,0.8999858212341197,0.9600175590367938,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,energy,0.9,-3.9606233430228386,0.9,0.7668553782810088,0.9514687100893997,0.6422413793103449,0.3577586206896552,0.1,0.8753062613430127,0.9456462539981281,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_energy/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,knn,0.9,0.8032170458137989,0.9,0.871939736346516,0.9605809128630706,0.7982758620689655,0.20172413793103447,0.1,0.9256249999999999,0.9689528213649714,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,knn,0.9,0.8066919133067132,0.9,0.8639165481270744,0.9599578503688093,0.7853448275862069,0.21465517241379312,0.1,0.9304565562613432,0.9713921067374771,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,knn,0.9,0.8080176216363907,0.9,0.8620280218475421,0.9598096245372819,0.7823275862068966,0.21767241379310345,0.1,0.9288004764065336,0.9715212655882979,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,knn,0.9,0.8244635462760925,0.9,0.8118026283163898,0.9556333917104495,0.7056034482758621,0.2943965517241379,0.1,0.9096823956442832,0.9613877631839989,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,knn,0.9,0.8598324158787728,0.9,0.7329455314648334,0.948016415868673,0.5974137931034482,0.4025862068965517,0.1,0.8925567150635209,0.9553661879793965,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_knn/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,lof,0.9,1.1831443786621094,0.9,0.8185404339250493,0.956221198156682,0.7155172413793104,0.28448275862068967,0.1,0.9058152790381127,0.9616765438664999,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,lof,0.9,1.2160732746124268,0.9,0.7693888032871083,0.951715374841169,0.6456896551724138,0.3543103448275862,0.1,0.8912477313974592,0.9547478087977062,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,lof,0.9,1.2417819499969482,0.9,0.8377395100654863,0.9578480310593456,0.7443965517241379,0.25560344827586207,0.1,0.9174517921960073,0.9690184227009864,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,lof,0.9,1.2309660553932191,0.9,0.7715970264034863,0.9519291587602783,0.6487068965517241,0.35129310344827586,0.1,0.8886439428312161,0.9461134716331383,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,lof,0.9,1.1973800897598268,0.9,0.7520833333333333,0.95,0.6224137931034482,0.3775862068965517,0.1,0.8893460753176042,0.9539853127278322,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_lof/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,msp,0.9,0.5184992959842868,0.9,0.8061783756851021,0.9551357733175915,0.6974137931034483,0.30258620689655175,0.1,0.8963798774954629,0.9563635132038328,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_13__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,42,protocol_v2_textoir_v1,msp,0.9,0.4584370418816033,0.9,0.8549581839904421,0.9592493297587131,0.7711206896551724,0.22887931034482759,0.1,0.9224166288566242,0.96670030995283,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_42__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,87,protocol_v2_textoir_v1,msp,0.9,0.47851213025101463,0.9,0.8371754428536763,0.9578012215435869,0.7435344827586207,0.25646551724137934,0.1,0.9094339836660618,0.9616315078825475,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_87__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,100,protocol_v2_textoir_v1,msp,0.9,0.5258528239869911,0.9,0.8141549121504578,0.9558396281231842,0.709051724137931,0.29094827586206895,0.1,0.8956941923774955,0.9579270561950108,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_100__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,123,protocol_v2_textoir_v1,msp,0.9,0.5031472192280665,0.9,0.7941620533467539,0.9540507859733979,0.6801724137931034,0.31982758620689655,0.1,0.8902438747731396,0.9528455932806552,../artifacts/s2c/runs/protocol_v2_textoir_v1/native_baselines_v1/protocol_v2_textoir_v1__banking77__kir_0.25__seed_123__repr_frozen_minilm__baseline_msp/predictions/test.jsonl
banking77,0.25,13,protocol_v2_textoir_v1,trainable_k1,0.9,1.0689514096364923,0.9,0.8647239990523573,0.9600210415570752,0.7866379310344828,0.21336206896551724,0.1,0.9256567604355717,0.968786301571126,../artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_13/predictions.jsonl
