dataset,kir,seed,method,contract,run_manifest,manifest_status,valid_semantic_metrics,invalid_reason,oos_f1,f1_all,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,n_test,n_known,n_oos
stackoverflow,0.5,100,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v1/stackoverflow/ADB/kir50/seed100/run_manifest.json,complete,True,,0.8911543287327478,0.873819667084345,0.8966831930475573,0.8823333333333333,0.8216666666666667,0.053,0.17833333333333334,6000,3000,3000
stackoverflow,0.5,42,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v1/stackoverflow/ADB/kir50/seed42/run_manifest.json,complete,True,,0.8595275590551181,0.8424658460007557,0.8776545194364536,0.8485,0.793,0.09033333333333333,0.207,6000,3000,3000
stackoverflow,0.5,87,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v1/stackoverflow/ADB/kir50/seed87/run_manifest.json,complete,True,,0.8702386597123439,0.8535076131942761,0.8868617935901494,0.8601666666666666,0.8086666666666666,0.08233333333333333,0.19133333333333333,6000,3000,3000
banking77,0.5,100,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v2/banking/ADB/kir50/seed100/run_manifest.json,complete,True,,0.7456521739130435,0.7665745881015057,0.887872200694467,0.7483766233766234,0.8875,0.3403846153846154,0.1125,3080,1520,1560
banking77,0.5,42,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v2/banking/ADB/kir50/seed42/run_manifest.json,complete,True,,0.7268673355629878,0.7792776931630171,0.9067516906689422,0.7428571428571429,0.8993421052631579,0.3730769230769231,0.1006578947368421,3080,1520,1560
banking77,0.5,87,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v2/banking/ADB/kir50/seed87/run_manifest.json,complete,True,,0.7564841498559077,0.7995857096963531,0.9098239958866609,0.7662337662337663,0.8907894736842106,0.3269230769230769,0.10921052631578948,3080,1520,1560
clinc150,0.5,100,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v2/clinc150/ADB/kir50/seed100/run_manifest.json,complete,True,,0.9010197960407919,0.8621928857784307,0.9397689295262095,0.8810526315789474,0.9048888888888889,0.12927536231884057,0.0951111111111111,5700,2250,3450
clinc150,0.5,42,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v2/clinc150/ADB/kir50/seed42/run_manifest.json,complete,True,,0.8952236542835481,0.8629732972097436,0.9438626784307761,0.8750877192982456,0.9142222222222223,0.1443478260869565,0.08577777777777777,5700,2250,3450
clinc150,0.5,87,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v2/clinc150/ADB/kir50/seed87/run_manifest.json,complete,True,,0.9041300134188162,0.8549358284868578,0.9286273983019421,0.8810526315789474,0.9,0.12115942028985507,0.1,5700,2250,3450
banking77,0.25,100,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/banking77/ADB/kir_0.25/seed_100/run_manifest.json,complete,True,,0.8654888103651355,0.7113188672538325,0.9189482178711431,0.8103896103896104,0.8842105263157894,0.2081896551724138,0.11578947368421053,3080,760,2320
banking77,0.25,42,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/banking77/ADB/kir_0.25/seed_42/run_manifest.json,complete,True,,0.8315098468271335,0.6884419638656267,0.9215173562079756,0.7704545454545455,0.8907894736842106,0.2629310344827586,0.10921052631578948,3080,760,2320
banking77,0.25,87,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/banking77/ADB/kir_0.25/seed_87/run_manifest.json,complete,True,,0.8177604293730178,0.6770614481969766,0.9138702436172733,0.7551948051948052,0.8644736842105263,0.2775862068965517,0.1355263157894737,3080,760,2320
banking77,0.75,100,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/banking77/ADB/kir_0.75/seed_100/run_manifest.json,complete,True,,0.6662116040955631,0.8623046995855899,0.909628326680096,0.8123376623376624,0.9064655172413794,0.35789473684210527,0.0935344827586207,3080,2320,760
banking77,0.75,42,ADB,protocol_v2 split + TextOIR BERT compatibility,artifacts/s2c/external/adb_gpu_runtime_v3/banking77/ADB/kir_0.75/seed_42/run_manifest.json,complete,True,,0.6809364548494983,0.8555560223829537,0.9012929901499238,0.8116883116883117,0.9025862068965518,0.33026315789473687,0.09741379310344828,3080,2320,760
