dataset,configuration_type,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_macro_f1_mean,known_macro_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,router_error_rate_mean,router_error_rate_std,expert_error_rate_mean,expert_error_rate_std,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,all_test_candidates,1,0.5,0.9,nearest_sphere,3,0.9598959638537833,0.0030110658193329507,0.6424228988245154,0.004515502696501778,0.6704405311511316,0.02505666416462479,0.9254084967320262,0.004503109078274749,0.545138888888889,0.021672897964343407,0.02111111111111111,0.008573694096051881,0.4548611111111111,0.021672897964343383,0.0,0.0,0.03861443270974562,0.01004210390788488,93.99,1.9995963853783394,True
banking77_oos,all_test_candidates,1,0.5,0.9,normalized_union,3,0.9598959638537833,0.0030110658193329507,0.6424228988245154,0.004515502696501778,0.6704405311511316,0.02505666416462479,0.9254084967320262,0.004503109078274749,0.545138888888889,0.021672897964343407,0.02111111111111111,0.008573694096051881,0.4548611111111111,0.021672897964343383,0.0,0.0,0.03861443270974562,0.01004210390788488,93.99,1.9995963853783394,True
banking77_oos,all_test_candidates,1,1.0,0.85,nearest_sphere,3,0.9597572178974932,0.0037131966587847843,0.6565454646318845,0.011063261546317501,0.6992000094720914,0.028371527745472254,0.9249999999999999,0.0058310672810639,0.5881944444444445,0.02817425385430665,0.02666666666666667,0.010216282493330881,0.41180555555555554,0.028174253854306674,0.0,0.0,0.04413811389717733,0.009502689767800615,93.99,1.9857217897493342,True
banking77_oos,all_test_candidates,1,1.0,0.85,normalized_union,3,0.9597093694901218,0.0037601391516325754,0.6563676782555022,0.01123469993268095,0.6992000094720914,0.028371527745472254,0.9249183006535948,0.005917424497461397,0.5881944444444445,0.02817425385430665,0.02675925925925926,0.010284865757453231,0.41180555555555554,0.028174253854306674,0.0,0.0,0.04413811389717733,0.009502689767800615,93.99,1.9809369490121753,True
banking77_oos,all_test_candidates,1,0.25,0.95,nearest_sphere,3,0.9596352702376159,0.0032431251196191474,0.6471013575203322,0.004147659031369941,0.6807825167876459,0.025129171323473833,0.9248366013071895,0.004891055407547658,0.5583333333333332,0.022243913025065204,0.023240740740740742,0.00906178305900692,0.44166666666666665,0.02224391302506523,0.0,0.0,0.041441097824550674,0.00996029883416471,93.99,1.9735270237615907,True
banking77_oos,all_test_candidates,1,0.25,0.95,normalized_union,3,0.9596352702376159,0.0032431251196191474,0.6471013575203322,0.004147659031369941,0.6807825167876459,0.025129171323473833,0.9248366013071895,0.004891055407547658,0.5583333333333332,0.022243913025065204,0.023240740740740742,0.00906178305900692,0.44166666666666665,0.02224391302506523,0.0,0.0,0.041441097824550674,0.00996029883416471,93.99,1.9735270237615907,True
banking77_oos,all_test_candidates,1,1.5,0.8,nearest_sphere,3,0.9596086428431257,0.004658392844903832,0.6661789501118651,0.02136958791629619,0.7185790740400225,0.036511476501847134,0.9248366013071895,0.007418912473690537,0.6152777777777777,0.03939404056578565,0.030277777777777775,0.011615850530163284,0.3847222222222222,0.039394040565785646,0.0,0.0,0.04475644740770319,0.012636347583580409,93.99,1.970864284312583,True
banking77_oos,all_test_candidates,1,1.5,0.8,normalized_union,3,0.9595124248797688,0.004773509394639547,0.6658163884833092,0.02176158733206546,0.7185790740400225,0.036511476501847134,0.924673202614379,0.007626536620990192,0.6152777777777777,0.03939404056578565,0.03046296296296296,0.01176399729569477,0.3847222222222222,0.039394040565785646,0.0,0.0,0.04475644740770319,0.012636347583580409,93.99,1.9612424879768895,True
banking77_oos,all_test_candidates,1,0.75,0.9,nearest_sphere,3,0.9593507121695598,0.005010051987892404,0.669644235069192,0.01598357261252574,0.7238682362795884,0.026549543409074162,0.9244281045751634,0.007884727690486799,0.6180555555555555,0.025249526337080337,0.031111111111111107,0.011787295246073503,0.3819444444444444,0.02524952633708034,0.0,0.0,0.044254556039344084,0.011630649581427059,93.99,1.9450712169559807,True
banking77_oos,all_test_candidates,1,0.75,0.85,nearest_sphere,3,0.9593134090597041,0.00251900951675597,0.6201490799344046,0.009355721530908311,0.6389316673671267,0.02773450699889289,0.9242647058823529,0.003738582087793345,0.5131944444444444,0.024076299754666266,0.018333333333333333,0.007846914939903075,0.48680555555555555,0.02407629975466629,0.0,0.0,0.038347508351737364,0.009776874550018452,93.99,1.9413409059704065,True
