dataset,kir,seed,metric,trainable_minus_adb,delta_pp
stackoverflow,0.5,100,oos_f1,0.01044894067938662,1.044894067938662
stackoverflow,0.5,100,f1_all,0.009766780956895094,0.9766780956895094
stackoverflow,0.5,100,f1_k,-0.014898427143406612,-1.4898427143406612
stackoverflow,0.5,100,accuracy,0.009666666666666712,0.9666666666666712
stackoverflow,0.5,100,known_recall,0.013666666666666716,1.3666666666666716
stackoverflow,0.5,100,false_accept_rate,-0.009000000000000001,-0.9000000000000001
stackoverflow,0.5,100,false_reject_rate,-0.013666666666666744,-1.3666666666666742
stackoverflow,0.5,42,oos_f1,0.015955066427507325,1.5955066427507325
stackoverflow,0.5,42,f1_all,0.015193250658615987,1.5193250658615987
stackoverflow,0.5,42,f1_k,-0.021777775659407306,-2.1777775659407306
stackoverflow,0.5,42,accuracy,0.01633333333333331,1.633333333333331
stackoverflow,0.5,42,known_recall,0.041999999999999926,4.199999999999992
stackoverflow,0.5,42,false_accept_rate,0.0026666666666666644,0.26666666666666644
stackoverflow,0.5,42,false_reject_rate,-0.04199999999999998,-4.199999999999998
stackoverflow,0.5,87,oos_f1,-0.0010266369666087627,-0.10266369666087627
stackoverflow,0.5,87,f1_all,0.0060565237779312,0.60565237779312
stackoverflow,0.5,87,f1_k,-0.02826244519529486,-2.826244519529486
stackoverflow,0.5,87,accuracy,0.0,0.0
stackoverflow,0.5,87,known_recall,0.031333333333333324,3.1333333333333324
stackoverflow,0.5,87,false_accept_rate,0.025999999999999968,2.599999999999997
stackoverflow,0.5,87,false_reject_rate,-0.031333333333333324,-3.1333333333333324
banking77,0.5,100,oos_f1,0.08029516070481135,8.029516070481135
banking77,0.5,100,f1_all,0.0398342449900162,3.98342449900162
banking77,0.5,100,f1_k,-0.08197753869574331,-8.197753869574331
banking77,0.5,100,accuracy,0.06233766233766236,6.233766233766236
banking77,0.5,100,known_recall,-0.06381578947368416,-6.381578947368416
banking77,0.5,100,false_accept_rate,-0.1647435897435898,-16.474358974358978
banking77,0.5,100,false_reject_rate,0.0638157894736842,6.38157894736842
banking77,0.5,42,oos_f1,0.11457296765874314,11.457296765874315
banking77,0.5,42,f1_all,0.037586283162848066,3.7586283162848066
banking77,0.5,42,f1_k,-0.09053445978770513,-9.053445978770513
banking77,0.5,42,accuracy,0.08116883116883111,8.11688311688311
banking77,0.5,42,known_recall,-0.07960526315789485,-7.960526315789485
banking77,0.5,42,false_accept_rate,-0.22692307692307698,-22.692307692307697
banking77,0.5,42,false_reject_rate,0.07960526315789469,7.960526315789469
banking77,0.5,87,oos_f1,0.09896386762770137,9.896386762770138
banking77,0.5,87,f1_all,0.032872631042483946,3.2872631042483946
banking77,0.5,87,f1_k,-0.0779706466411072,-7.79706466411072
banking77,0.5,87,accuracy,0.07370129870129871,7.370129870129871
banking77,0.5,87,known_recall,-0.07039473684210529,-7.039473684210529
banking77,0.5,87,false_accept_rate,-0.20512820512820523,-20.51282051282052
banking77,0.5,87,false_reject_rate,0.07039473684210523,7.039473684210523
clinc150,0.5,100,oos_f1,0.004131471334514747,0.4131471334514747
clinc150,0.5,100,f1_all,-0.03727342573042858,-3.7273425730428578
clinc150,0.5,100,f1_k,-0.11591922690923817,-11.591922690923816
clinc150,0.5,100,accuracy,-0.0052631578947368585,-0.5263157894736858
clinc150,0.5,100,known_recall,-0.15688888888888886,-15.688888888888886
clinc150,0.5,100,false_accept_rate,-0.09188405797101457,-9.188405797101456
clinc150,0.5,100,false_reject_rate,0.1568888888888889,15.688888888888892
clinc150,0.5,42,oos_f1,0.0019215444597929787,0.19215444597929787
clinc150,0.5,42,f1_all,-0.05545916178632726,-5.5459161786327265
clinc150,0.5,42,f1_k,-0.13754362385162533,-13.754362385162533
clinc150,0.5,42,accuracy,-0.010877192982456152,-1.0877192982456152
clinc150,0.5,42,known_recall,-0.17511111111111122,-17.51111111111112
clinc150,0.5,42,false_accept_rate,-0.096231884057971,-9.623188405797102
clinc150,0.5,42,false_reject_rate,0.1751111111111111,17.51111111111111
clinc150,0.5,87,oos_f1,0.004542073302051031,0.45420733020510307
clinc150,0.5,87,f1_all,-0.03153411486837043,-3.1534114868370433
clinc150,0.5,87,f1_k,-0.10636262299148647,-10.636262299148648
clinc150,0.5,87,accuracy,-0.0017543859649122862,-0.17543859649122862
clinc150,0.5,87,known_recall,-0.1564444444444445,-15.64444444444445
clinc150,0.5,87,false_accept_rate,-0.09304347826086957,-9.304347826086957
clinc150,0.5,87,false_reject_rate,0.1564444444444444,15.644444444444442
banking77,0.25,100,oos_f1,0.06532879969775773,6.532879969775774
banking77,0.25,100,f1_all,0.08635213773545058,8.635213773545058
banking77,0.25,100,f1_k,-0.12828492893836585,-12.828492893836586
banking77,0.25,100,accuracy,0.0814935064935064,8.14935064935064
banking77,0.25,100,known_recall,-0.07499999999999996,-7.499999999999996
banking77,0.25,100,false_accept_rate,-0.13318965517241382,-13.318965517241383
banking77,0.25,100,false_reject_rate,0.07499999999999998,7.499999999999998
banking77,0.25,42,oos_f1,0.08761103229374578,8.761103229374578
banking77,0.25,42,f1_all,0.10554633018309145,10.554633018309145
banking77,0.25,42,f1_k,-0.13411498768937102,-13.411498768937102
banking77,0.25,42,accuracy,0.1097402597402597,10.97402597402597
banking77,0.25,42,known_recall,-0.0736842105263158,-7.36842105263158
banking77,0.25,42,false_accept_rate,-0.16422413793103452,-16.422413793103452
banking77,0.25,42,false_reject_rate,0.07368421052631571,7.368421052631572
banking77,0.25,87,oos_f1,0.11273479217346338,11.273479217346338
banking77,0.25,87,f1_all,0.13784851707430334,13.784851707430334
banking77,0.25,87,f1_k,-0.10504371288679348,-10.504371288679348
banking77,0.25,87,accuracy,0.1402597402597403,14.02597402597403
banking77,0.25,87,known_recall,-0.051315789473684204,-5.13157894736842
banking77,0.25,87,false_accept_rate,-0.20086206896551734,-20.086206896551733
banking77,0.25,87,false_reject_rate,0.051315789473684204,5.13157894736842
banking77,0.75,100,oos_f1,0.013945787697579037,1.3945787697579037
banking77,0.75,100,f1_all,-0.0200257570286283,-2.00257570286283
banking77,0.75,100,f1_k,-0.06455418497203413,-6.455418497203413
banking77,0.75,100,accuracy,-0.017207792207792227,-1.7207792207792227
banking77,0.75,100,known_recall,-0.08491379310344827,-8.491379310344826
banking77,0.75,100,false_accept_rate,-0.15394736842105267,-15.394736842105267
banking77,0.75,100,false_reject_rate,0.08491379310344821,8.49137931034482
banking77,0.75,42,oos_f1,0.04633627242322902,4.633627242322902
banking77,0.75,42,f1_all,-0.00904262882292306,-0.904262882292306
banking77,0.75,42,f1_k,-0.052723723033215486,-5.272372303321548
banking77,0.75,42,accuracy,0.00032467532467528315,0.032467532467528315
banking77,0.75,42,known_recall,-0.07284482758620692,-7.284482758620692
banking77,0.75,42,false_accept_rate,-0.19868421052631588,-19.86842105263159
banking77,0.75,42,false_reject_rate,0.07284482758620683,7.284482758620683
banking77,0.75,87,oos_f1,0.0763184572441663,7.63184572441663
banking77,0.75,87,f1_all,-0.007291065594792201,-0.7291065594792201
banking77,0.75,87,f1_k,-0.06010035305531891,-6.010035305531892
banking77,0.75,87,accuracy,0.006818181818181834,0.6818181818181834
banking77,0.75,87,known_recall,-0.07931034482758614,-7.931034482758614
banking77,0.75,87,false_accept_rate,-0.2407894736842106,-24.078947368421062
banking77,0.75,87,false_reject_rate,0.07931034482758614,7.931034482758614
clinc150,0.25,100,oos_f1,0.03495531018486875,3.495531018486875
clinc150,0.25,100,f1_all,0.04572300961546483,4.572300961546483
clinc150,0.25,100,f1_k,-0.11513966546145948,-11.513966546145948
clinc150,0.25,100,accuracy,0.04982456140350866,4.982456140350866
clinc150,0.25,100,known_recall,-0.15263157894736845,-15.263157894736846
clinc150,0.25,100,false_accept_rate,-0.09978070175438601,-9.978070175438601
clinc150,0.25,100,false_reject_rate,0.15263157894736837,15.263157894736837
clinc150,0.25,42,oos_f1,0.037038181963268246,3.7038181963268246
clinc150,0.25,42,f1_all,0.017352882405184733,1.7352882405184733
clinc150,0.25,42,f1_k,-0.17339953601703673,-17.339953601703673
clinc150,0.25,42,accuracy,0.049473684210526336,4.947368421052634
clinc150,0.25,42,known_recall,-0.1929824561403508,-19.298245614035082
clinc150,0.25,42,false_accept_rate,-0.10942982456140359,-10.942982456140358
clinc150,0.25,42,false_reject_rate,0.1929824561403509,19.29824561403509
clinc150,0.25,87,oos_f1,0.040043356695037446,4.004335669503744
clinc150,0.25,87,f1_all,0.029270385904098806,2.9270385904098806
clinc150,0.25,87,f1_k,-0.159360342118671,-15.936034211867101
clinc150,0.25,87,accuracy,0.054210526315789376,5.421052631578938
clinc150,0.25,87,known_recall,-0.16754385964912277,-16.754385964912277
clinc150,0.25,87,false_accept_rate,-0.10899122807017546,-10.899122807017546
clinc150,0.25,87,false_reject_rate,0.16754385964912277,16.754385964912277
clinc150,0.75,100,oos_f1,-0.020841527882381916,-2.0841527882381916
clinc150,0.75,100,f1_all,-0.05018828992518087,-5.018828992518087
clinc150,0.75,100,f1_k,-0.09801842528575955,-9.801842528575955
clinc150,0.75,100,accuracy,-0.035263157894736774,-3.5263157894736774
clinc150,0.75,100,known_recall,-0.1544642857142856,-15.44642857142856
clinc150,0.75,100,false_accept_rate,-0.12350427350427358,-12.350427350427358
clinc150,0.75,100,false_reject_rate,0.15446428571428567,15.446428571428566
clinc150,0.75,42,oos_f1,-0.014923954712351528,-1.4923954712351528
clinc150,0.75,42,f1_all,-0.057726446030820666,-5.772644603082067
clinc150,0.75,42,f1_k,-0.11221520067647384,-11.221520067647383
clinc150,0.75,42,accuracy,-0.03543859649122805,-3.5438596491228047
clinc150,0.75,42,known_recall,-0.17708333333333326,-17.708333333333325
clinc150,0.75,42,false_accept_rate,-0.15341880341880343,-15.341880341880342
clinc150,0.75,42,false_reject_rate,0.17708333333333331,17.708333333333332
clinc150,0.75,87,oos_f1,-0.03029094249861486,-3.029094249861486
clinc150,0.75,87,f1_all,-0.05554156369057894,-5.554156369057894
clinc150,0.75,87,f1_k,-0.10046828833931742,-10.046828833931743
clinc150,0.75,87,accuracy,-0.04157894736842105,-4.157894736842104
clinc150,0.75,87,known_recall,-0.16488095238095235,-16.488095238095234
clinc150,0.75,87,false_accept_rate,-0.11709401709401712,-11.709401709401712
clinc150,0.75,87,false_reject_rate,0.16488095238095232,16.488095238095234
stackoverflow,0.25,100,oos_f1,0.0292123172869585,2.92123172869585
stackoverflow,0.25,100,f1_all,0.05431541415594143,5.431541415594143
stackoverflow,0.25,100,f1_k,-0.029184942703984085,-2.9184942703984085
stackoverflow,0.25,100,accuracy,0.04166666666666652,4.166666666666652
stackoverflow,0.25,100,known_recall,-0.008666666666666711,-0.8666666666666711
stackoverflow,0.25,100,false_accept_rate,-0.05844444444444448,-5.844444444444448
stackoverflow,0.25,100,false_reject_rate,0.0086666666666666,0.86666666666666
stackoverflow,0.25,42,oos_f1,0.02326470793017854,2.326470793017854
stackoverflow,0.25,42,f1_all,0.04766293624100115,4.766293624100115
stackoverflow,0.25,42,f1_k,-0.043779203136225076,-4.377920313622507
stackoverflow,0.25,42,accuracy,0.03283333333333316,3.283333333333316
stackoverflow,0.25,42,known_recall,0.014666666666666606,1.4666666666666606
stackoverflow,0.25,42,false_accept_rate,-0.03955555555555559,-3.955555555555559
stackoverflow,0.25,42,false_reject_rate,-0.014666666666666661,-1.4666666666666661
stackoverflow,0.25,87,oos_f1,0.029827798028258634,2.9827798028258634
stackoverflow,0.25,87,f1_all,0.06255152687108767,6.255152687108767
stackoverflow,0.25,87,f1_k,-0.025643216262340784,-2.5643216262340784
stackoverflow,0.25,87,accuracy,0.04233333333333322,4.233333333333322
stackoverflow,0.25,87,known_recall,0.02400000000000002,2.400000000000002
stackoverflow,0.25,87,false_accept_rate,-0.0495555555555556,-4.95555555555556
stackoverflow,0.25,87,false_reject_rate,-0.023999999999999994,-2.3999999999999995
stackoverflow,0.75,100,oos_f1,-0.007160610526161015,-0.7160610526161015
stackoverflow,0.75,100,f1_all,0.004887769118761209,0.48877691187612093
stackoverflow,0.75,100,f1_k,-0.008878864384707197,-0.8878864384707197
stackoverflow,0.75,100,accuracy,0.0018333333333333535,0.18333333333333535
stackoverflow,0.75,100,known_recall,0.030888888888888855,3.0888888888888855
stackoverflow,0.75,100,false_accept_rate,0.06599999999999998,6.599999999999998
stackoverflow,0.75,100,false_reject_rate,-0.03088888888888891,-3.0888888888888912
stackoverflow,0.75,42,oos_f1,0.02278176687061706,2.278176687061706
stackoverflow,0.75,42,f1_all,0.012532377335614853,1.2532377335614853
stackoverflow,0.75,42,f1_k,-0.0008408475687043948,-0.08408475687043948
stackoverflow,0.75,42,accuracy,0.017166666666666663,1.7166666666666663
stackoverflow,0.75,42,known_recall,0.05111111111111111,5.111111111111111
stackoverflow,0.75,42,false_accept_rate,0.04599999999999993,4.5999999999999925
stackoverflow,0.75,42,false_reject_rate,-0.05111111111111122,-5.111111111111121
stackoverflow,0.75,87,oos_f1,0.03430708667092919,3.4307086670929188
stackoverflow,0.75,87,f1_all,0.01377265835699959,1.377265835699959
stackoverflow,0.75,87,f1_k,0.0032521194377719276,0.32521194377719276
stackoverflow,0.75,87,accuracy,0.020000000000000018,2.0000000000000018
stackoverflow,0.75,87,known_recall,0.0344444444444445,3.44444444444445
stackoverflow,0.75,87,false_accept_rate,-0.006000000000000033,-0.6000000000000033
stackoverflow,0.75,87,false_reject_rate,-0.034444444444444444,-3.4444444444444446
