dataset,dev_accuracy,elapsed_time,epoch,learning_rate,max_ball_size,mean_ball_purity,mean_ball_radius,min_ball_size,mode,number_of_balls,selected_ball_count,subcentroid_loss,train_ce_loss,uniform_subcentroid_loss,theoretical_minimum_subcentroid_loss,subcentroid_improvement_from_uniform
stackoverflow,91.3,15.062,38,2e-05,540,1.0,4.599526411957211,10,official_fixed,82,36,2.258608341217041,0.1198708982543742,2.302585092994046,2.203157371383621,0.043976751777004885
banking77,1.47,31.9,1,2e-05,52,1.0,0.7701587736606598,10,official_fixed,3010,10,4.058090686798096,4.063543832527016,4.060443010546419,4.043204253608694,0.0023523237483233927
banking77,3.21,31.835,2,2e-05,24,1.0,0.768706951290369,10,official_fixed,3045,16,4.058048248291016,4.0558246216684015,4.060443010546419,4.043204253608694,0.002394762255403471
banking77,4.81,31.208,3,2e-05,31,1.0,0.8201571036787594,10,official_fixed,2895,17,4.05793571472168,4.041787606365276,4.060443010546419,4.043204253608694,0.0025072958247394084
banking77,6.82,31.127,4,2e-05,27,1.0,0.9224989153444768,10,official_fixed,2817,16,4.057635307312012,4.015357575326596,4.060443010546419,4.043204253608694,0.002807703234407377
banking77,14.44,31.428,5,2e-05,43,1.0,1.1304021668434143,10,official_fixed,2544,25,4.056931018829346,3.957800676237862,4.060443010546419,4.043204253608694,0.0035119917170733927
banking77,29.81,30.131,6,2e-05,38,1.0,1.639328916867574,10,official_fixed,2265,33,4.05557107925415,3.799742392773898,4.060443010546419,4.043204253608694,0.004871931292268705
banking77,39.57,30.285,7,2e-05,52,1.0,2.2621058026949563,10,official_fixed,1962,30,4.054372310638428,3.453831672668457,4.060443010546419,4.043204253608694,0.0060706999079913615
banking77,50.13,29.926,8,2e-05,47,1.0,2.8946852745153966,10,official_fixed,1836,39,4.053577899932861,3.0188105376261585,4.060443010546419,4.043204253608694,0.006865110613557768
banking77,59.36,30.332,9,2e-05,63,1.0,3.334538156336004,10,official_fixed,1668,55,4.052927017211914,2.581470435520388,4.060443010546419,4.043204253608694,0.007515993334505033
banking77,67.38,30.31,10,2e-05,61,1.0,3.706155519932509,10,official_fixed,1478,64,4.052600860595703,2.1579235409790614,4.060443010546419,4.043204253608694,0.007842149950715971
banking77,71.52,29.624,11,2e-05,88,1.0,4.08730792327666,10,official_fixed,1403,71,4.052331924438477,1.8109805044138207,4.060443010546419,4.043204253608694,0.008111086107942533
banking77,75.67,29.565,12,2e-05,79,1.0,4.3870207380365445,10,official_fixed,1278,81,4.052248477935791,1.532112625409972,4.060443010546419,4.043204253608694,0.00819453261062808
banking77,78.88,28.91,13,2e-05,92,1.0,4.684564408291592,10,official_fixed,1208,89,4.052064895629883,1.313926078238577,4.060443010546419,4.043204253608694,0.008378114916536283
banking77,80.61,29.045,14,2e-05,94,1.0,4.9077604394210015,10,official_fixed,1072,95,4.0520524978637695,1.1372578920058485,4.060443010546419,4.043204253608694,0.008390512682649565
banking77,82.75,28.938,15,2e-05,99,1.0,5.048026984499902,10,official_fixed,1031,97,4.051961898803711,0.9923736284363944,4.060443010546419,4.043204253608694,0.008481111742708158
banking77,83.82,28.206,16,2e-05,100,1.0,5.246164108943013,10,official_fixed,923,103,4.051904678344727,0.8777602764795411,4.060443010546419,4.043204253608694,0.008538332201692533
banking77,84.22,28.059,17,2e-05,98,1.0,5.441091386398466,10,official_fixed,898,101,4.0518717765808105,0.7802408843670251,4.060443010546419,4.043204253608694,0.008571233965608549
banking77,86.23,27.91,18,2e-05,100,1.0,5.589418249392728,10,official_fixed,824,109,4.051833152770996,0.7012981187622502,4.060443010546419,4.043204253608694,0.008609857775423002
banking77,86.23,27.718,19,2e-05,96,1.0,5.741554026333791,10,official_fixed,817,106,4.0518012046813965,0.6316335167524949,4.060443010546419,4.043204253608694,0.008641805865022611
banking77,87.17,27.556,20,2e-05,118,1.0,5.83754343898208,10,official_fixed,770,108,4.0517897605896,0.5766166122454517,4.060443010546419,4.043204253608694,0.008653249956819486
banking77,87.57,27.549,21,2e-05,105,1.0,5.954344995951248,10,official_fixed,718,118,4.05183219909668,0.5261557400226593,4.060443010546419,4.043204253608694,0.008610811449739408
banking77,88.1,27.25,22,2e-05,104,1.0,6.083467629578736,10,official_fixed,691,111,4.051792621612549,0.4854664307720256,4.060443010546419,4.043204253608694,0.008650388933870268
banking77,88.5,26.585,23,2e-05,101,1.0,6.146525076457432,10,official_fixed,623,112,4.051764011383057,0.4512674133732633,4.060443010546419,4.043204253608694,0.008678999163362455
banking77,88.77,26.195,24,2e-05,115,1.0,6.232102052918796,10,official_fixed,586,116,4.051745891571045,0.4253955511551983,4.060443010546419,4.043204253608694,0.008697118975374174
banking77,89.57,26.455,25,2e-05,96,1.0,6.282626624934929,10,official_fixed,634,121,4.051745891571045,0.3960456072159533,4.060443010546419,4.043204253608694,0.008697118975374174
banking77,90.11,25.987,26,2e-05,123,1.0,6.451308979988098,10,official_fixed,523,100,4.0517449378967285,0.3740870924490803,4.060443010546419,4.043204253608694,0.00869807264969058
banking77,90.24,27.029,27,2e-05,120,1.0,6.476454111245962,10,official_fixed,516,117,4.051699638366699,0.3502865894785467,4.060443010546419,4.043204253608694,0.008743372179719877
banking77,90.37,26.336,28,2e-05,130,1.0,6.612726985818089,10,official_fixed,561,101,4.05170202255249,0.331999715487912,4.060443010546419,4.043204253608694,0.008740987993928861
banking77,90.51,25.769,29,2e-05,124,1.0,6.673966074411848,10,official_fixed,492,113,4.051674842834473,0.313390425634834,4.060443010546419,4.043204253608694,0.00876816771194644
banking77,90.51,26.041,30,2e-05,137,1.0,6.6605209273261,10,official_fixed,526,111,4.051720142364502,0.295841652548538,4.060443010546419,4.043204253608694,0.008722868181917143
banking77,90.64,26.325,31,2e-05,120,1.0,6.782578736543655,10,official_fixed,481,112,4.051713943481445,0.2832296426003834,4.060443010546419,4.043204253608694,0.008729067064973783
banking77,90.78,26.094,32,2e-05,125,1.0,6.80847207399515,10,official_fixed,464,104,4.051673412322998,0.2698366124674959,4.060443010546419,4.043204253608694,0.008769598223421049
banking77,91.18,26.693,33,2e-05,147,1.0,6.919047541088528,10,official_fixed,454,108,4.051654815673828,0.258941022573777,4.060443010546419,4.043204253608694,0.008788194872590971
banking77,90.51,26.166,34,2e-05,136,1.0,6.96237671173225,10,official_fixed,407,118,4.051659107208252,0.2484938451703989,4.060443010546419,4.043204253608694,0.008783903338167143
banking77,90.91,25.798,35,2e-05,136,1.0,6.993103884733641,10,official_fixed,458,104,4.051616191864014,0.2374412960038995,4.060443010546419,4.043204253608694,0.008826818682405424
banking77,91.18,25.922,36,2e-05,122,1.0,6.984373517469926,10,official_fixed,428,110,4.051589488983154,0.2272466615123569,4.060443010546419,4.043204253608694,0.008853521563264799
banking77,90.91,25.754,37,2e-05,142,1.0,7.055170813473788,10,official_fixed,403,110,4.051614284515381,0.2201689911900826,4.060443010546419,4.043204253608694,0.008828726031038236
banking77,91.71,25.749,38,2e-05,142,1.0,7.149928084516947,10,official_fixed,376,113,4.0515666007995605,0.2123066452595423,4.060443010546419,4.043204253608694,0.008876409746858549
banking77,91.31,25.424,39,2e-05,139,1.0,7.1518908519189335,10,official_fixed,318,103,4.051534652709961,0.2028988537923345,4.060443010546419,4.043204253608694,0.008908357836458158
banking77,91.18,25.504,40,2e-05,151,1.0,7.290124042746947,10,official_fixed,405,97,4.051610946655273,0.1964020238451237,4.060443010546419,4.043204253608694,0.008832063891145658
banking77,91.04,25.961,41,2e-05,145,1.0,7.244187460033172,10,official_fixed,348,109,4.051506042480469,0.1874901806970812,4.060443010546419,4.043204253608694,0.008936968065950346
banking77,91.44,25.005,42,2e-05,151,1.0,7.231052101205249,10,official_fixed,329,109,4.051574230194092,0.1825704369342552,4.060443010546419,4.043204253608694,0.008868780352327299
banking77,91.31,25.052,43,2e-05,151,1.0,7.400532139672173,10,official_fixed,378,99,4.0515875816345215,0.1760728232703119,4.060443010546419,4.043204253608694,0.008855428911897611
banking77,91.84,25.187,44,2e-05,153,1.0,7.403773774906081,10,official_fixed,371,98,4.0515899658203125,0.1699272321080261,4.060443010546419,4.043204253608694,0.008853044726106596
banking77,91.18,24.849,45,2e-05,142,1.0,7.395470653612589,10,official_fixed,291,97,4.051556587219238,0.1598591270311823,4.060443010546419,4.043204253608694,0.008886423327180815
banking77,91.31,25.345,46,2e-05,143,1.0,7.486808826809837,10,official_fixed,421,105,4.051600456237793,0.1585406159173767,4.060443010546419,4.043204253608694,0.008842554308626127
banking77,91.31,25.313,47,2e-05,145,1.0,7.539457670532831,10,official_fixed,364,101,4.051562309265137,0.1536344786016446,4.060443010546419,4.043204253608694,0.008880701281282377
banking77,91.58,25.758,48,2e-05,141,1.0,7.5560103763233535,10,official_fixed,284,99,4.051564693450928,0.150071678577729,4.060443010546419,4.043204253608694,0.008878317095491361
banking77,91.58,25.813,49,2e-05,142,1.0,7.594751865305799,10,official_fixed,269,94,4.051565647125244,0.1417394703570401,4.060443010546419,4.043204253608694,0.008877363421174955
banking77,91.58,25.754,50,2e-05,150,1.0,7.499563752990408,10,official_fixed,305,97,4.051464080810547,0.1390119703873148,4.060443010546419,4.043204253608694,0.008978929735872221
banking77,91.44,25.318,51,2e-05,137,1.0,7.625341777618114,10,official_fixed,285,104,4.051524639129639,0.1340686327443932,4.060443010546419,4.043204253608694,0.008918371416780424
banking77,91.58,25.496,52,2e-05,150,1.0,7.6888012418559954,10,official_fixed,305,102,4.0514912605285645,0.1313128836874691,4.060443010546419,4.043204253608694,0.008951750017854643
banking77,91.44,24.922,53,2e-05,157,1.0,7.68885172174332,10,official_fixed,295,94,4.051516532897949,0.1330322312577715,4.060443010546419,4.043204253608694,0.008926477648469877
banking77,91.44,24.619,54,2e-05,147,1.0,7.7179073468603265,10,official_fixed,258,99,4.051506996154785,0.1259945817994621,4.060443010546419,4.043204253608694,0.00893601439163394
