k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.5196147374151667,0.8290178571428571,0.9004464285714285,0.8861607142857143,0.014285714285714285
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,1.7319524765731114,0.8357142857142857,0.9004464285714285,0.8875,0.012946428571428572
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.158310161805192,0.8491071428571428,0.9004464285714285,0.8901785714285714,0.010267857142857143
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,3.0212658626868105,0.8625,0.9004464285714285,0.8928571428571429,0.007589285714285714
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,3.061517929024484,0.8736607142857142,0.9004464285714285,0.8950892857142857,0.005357142857142857
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,4.840010679234148,0.8758928571428571,0.9004464285714285,0.8955357142857143,0.004910714285714286
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,8.584244690935396,0.878125,0.9004464285714285,0.8959821428571428,0.004464285714285714
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,16.0113433393973,0.878125,0.9004464285714285,0.8959821428571428,0.004464285714285714
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,1.3086724051347336,0.8200892857142857,0.9004464285714285,0.884375,0.01607142857142857
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.7620991727697926,0.878125,0.9004464285714285,0.8959821428571428,0.004464285714285714
1,euclidean,mean_std_0.0,normalized_union,none,0.0,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,none,0.25,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,none,0.5,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,none,1.0,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,none,2.0,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,1.498613693952607,0.7129464285714285,0.9004464285714285,0.8629464285714286,0.0375
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,1.7101543276421327,0.7174107142857142,0.9004464285714285,0.8638392857142857,0.03660714285714286
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,2.13872559722712,0.7419642857142857,0.9004464285714285,0.86875,0.03169642857142857
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,2.998628515918802,0.7441964285714285,0.9004464285714285,0.8691964285714285,0.03125
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.0,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.25,3.0373254334860027,0.7174107142857142,0.9004464285714285,0.8638392857142857,0.03660714285714286
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.5,4.840010679234148,0.7196428571428571,0.9004464285714285,0.8642857142857143,0.03616071428571429
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,1.0,8.558157256575956,0.7174107142857142,0.9004464285714285,0.8638392857142857,0.03660714285714286
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,2.0,16.008549644202684,0.7151785714285714,0.9004464285714285,0.8633928571428572,0.03705357142857143
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.0,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.25,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.5,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,max_ratio,1.0,1.2887059640536676,0.6950892857142857,0.9004464285714285,0.859375,0.04107142857142857
1,euclidean,mean_std_0.0,normalized_union,max_ratio,2.0,1.7617089814237774,0.7151785714285714,0.9004464285714285,0.8633928571428572,0.03705357142857143
1,euclidean,mean_std_0.25,nearest_sphere,none,0.0,1.250629331383239,0.8290178571428571,0.9004464285714285,0.8861607142857143,0.014285714285714285
1,euclidean,mean_std_0.25,nearest_sphere,none,0.25,1.250629331383239,0.8290178571428571,0.9004464285714285,0.8861607142857143,0.014285714285714285
1,euclidean,mean_std_0.25,nearest_sphere,none,0.5,1.250629331383239,0.8290178571428571,0.9004464285714285,0.8861607142857143,0.014285714285714285
