dataset,kir,method,method_label,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,oos_f1_std,f1_all_std,f1_k_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,auroc_std,aupr_oos_std,n_seeds,dataset_label,oos_f1_pct,f1_all_pct,f1_k_pct,known_recall_pct,false_accept_rate_pct,false_reject_rate_pct,accuracy_pct,auroc_pct,aupr_oos_pct
banking77,0.25,fixed_k2,S2C Frozen K=2,0.8577784166123713,0.7109974813224451,0.7032721689387648,0.8189473684210526,0.2032758620689654,0.1810526315789473,0.7975974025974025,0.8880257486388384,0.9518511325826772,0.0317591952053607,0.0220299387290089,0.0216790982238043,0.0197718986908019,0.053303474598572,0.0197718986908019,0.0375688775445783,0.0219538494873497,0.0089670912638411,5,Banking77,85.77784166123713,71.09974813224451,70.32721689387648,81.89473684210526,20.327586206896537,18.10526315789473,79.75974025974025,88.80257486388385,95.18511325826772
banking77,0.25,mogb_minilm,MOGB-MiniLM,0.9029919725157672,0.5587572321670984,0.5406396142540106,0.3997368421052631,0.0149999999999999,0.6002631578947368,0.8401948051948052,0.8690423094373866,0.936193092893446,0.0043455454827409,0.0297745362262481,0.0311488613377247,0.0226262233565281,0.0064106870491649,0.0226262233565281,0.0074900845233082,0.0255476500298192,0.0157209702170116,5,Banking77,90.29919725157673,55.87572321670984,54.06396142540106,39.97368421052631,1.49999999999999,60.026315789473685,84.01948051948051,86.90423094373865,93.6193092893446
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,0.9205598966754222,0.7114966831111289,0.7004933560814293,0.616842105263158,0.0401724137931034,0.383157894736842,0.8742857142857142,0.8916474591651543,0.950432627636396,0.0045096055461325,0.0303286030173708,0.0317249844489206,0.0324896105277328,0.0047354979196455,0.0324896105277328,0.0078742970408583,0.0125434100638666,0.0067991503309554,5,Banking77,92.05598966754222,71.14966831111289,70.04933560814293,61.684210526315795,4.01724137931034,38.3157894736842,87.42857142857142,89.16474591651543,95.0432627636396
banking77,0.25,ours_partition_mogb_boundary,S2C partition + MOGB boundary,0.9067732430505278,0.6549065911705718,0.6416504515979425,0.5386842105263158,0.0450862068965517,0.4613157894736842,0.8508441558441557,0.8775311932849366,0.9467843141034916,0.0096029342763137,0.0195689530291712,0.02022418185291,0.0192168338599549,0.0186608562633224,0.0192168338599548,0.0134742215601514,0.0238574194381731,0.0093096418145583,5,Banking77,90.67732430505278,65.49065911705718,64.16504515979426,53.868421052631575,4.50862068965517,46.13157894736842,85.08441558441558,87.75311932849365,94.67843141034916
banking77,0.25,random_partition,S2C Random K=2,0.8500483735063608,0.693146655424499,0.6848886702622957,0.8473684210526315,0.2231034482758621,0.1526315789473683,0.7888961038961039,0.8943634301270418,0.9538458219553928,0.0244339583571975,0.0271097304080824,0.0275416241906709,0.0082171026294715,0.0408057865700208,0.0082171026294716,0.0286280062605196,0.0093676879440522,0.0048790775601228,5,Banking77,85.00483735063608,69.3146655424499,68.48886702622957,84.73684210526315,22.31034482758621,15.263157894736832,78.88961038961038,89.43634301270419,95.38458219553928
banking77,0.25,single_centroid,S2C Frozen K=1,0.8517237093485583,0.6928544335841691,0.6844928927544645,0.8389473684210526,0.2183620689655172,0.1610526315789473,0.7904545454545454,0.8915661297640654,0.9525432082011688,0.0252653822562901,0.0302626721166386,0.0308073846934578,0.0087576638380493,0.041752092373893,0.0087576638380493,0.030026412165949,0.0104648698296985,0.0052108914969069,5,Banking77,85.17237093485583,69.28544335841691,68.44928927544645,83.89473684210526,21.83620689655172,16.10526315789473,79.04545454545455,89.15661297640654,95.25432082011687
banking77,0.25,trainable_k1,S2C Trainable K=1,0.9165382964914104,0.7851015718978599,0.7781838495508309,0.8184210526315789,0.1032758620689654,0.181578947368421,0.8752597402597402,0.922975612522686,0.9670141428061454,0.0179760902685493,0.0256220050019276,0.0261076728247816,0.0077843155040784,0.0336077008508523,0.0077843155040784,0.0233646704650481,0.0140440057879496,0.0059798894974264,5,Banking77,91.65382964914104,78.51015718978599,77.81838495508309,81.84210526315789,10.32758620689654,18.1578947368421,87.52597402597402,92.2975612522686,96.70141428061454
banking77,0.5,fixed_k2,S2C Frozen K=2,0.7546157036165422,0.7616393362174011,0.7618241686542658,0.8255263157894737,0.2905128205128205,0.1744736842105262,0.7479220779220779,0.859762230094467,0.8357888390365009,0.0215285367758311,0.0108726299811063,0.0107594872427671,0.0070305526354697,0.0354812180037863,0.0070305526354697,0.0152054158756485,0.0130023739824995,0.014816779192299,5,Banking77,75.46157036165422,76.16393362174011,76.18241686542659,82.55263157894737,29.05128205128205,17.44736842105262,74.79220779220779,85.9762230094467,83.5788839036501
banking77,0.5,mogb_minilm,MOGB-MiniLM,0.7499368546965275,0.4860081532780996,0.4790626611355094,0.334078947368421,0.0108974358974358,0.6659210526315789,0.6651298701298701,0.8356215418353576,0.7871540272941482,0.0064068342139424,0.0250795118417385,0.0255823848751835,0.0213911921709164,0.0049029033784546,0.0213911921709163,0.010930039410323,0.01215613838355,0.0172630169017992,5,Banking77,74.99368546965275,48.60081532780996,47.90626611355094,33.407894736842096,1.0897435897435799,66.59210526315789,66.51298701298701,83.56215418353577,78.71540272941482
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,0.7939747596576892,0.6480972658162543,0.6442583843993744,0.5218421052631579,0.0349999999999999,0.478157894736842,0.7438311688311688,0.8545895748987855,0.8139938584826117,0.0077973318096271,0.0197653736428704,0.0201208439280535,0.0201996184243053,0.0087023805187411,0.0201996184243053,0.0110747129226042,0.0097539777511057,0.0169721789187636,5,Banking77,79.39747596576892,64.80972658162543,64.42583843993745,52.18421052631579,3.49999999999999,47.8157894736842,74.38311688311688,85.45895748987856,81.39938584826118
